id,area,source_ref,requirement,implementation_files,tests,acceptance_test,status,evidence_path,licence_impact,remaining_limitation
J-05,UX and docs,mission.J.5,"Example workflows for research, verification, contradiction, export, backup, restore, orchestration",docs/USER_GUIDE.md,manual review,pytest tests/unit/test_docs_user_workflows.py -q,PRODUCTION READY,test-evidence/rows/J-05.log,none,"Verified by executed test: each of the seven named workflows has a section with a real example, every agent workflow name is checked against the closed choice list the CLI offers, every export format against the command's own choices, and every documented subcommand and long flag against the real parser."
J-06,UX and docs,mission.J.6,Honest capability matrix with validation status,docs/REQUIREMENTS_TRACEABILITY_MATRIX.md,manual review,pytest tests/unit/test_docs_capability_matrix.py -q,PRODUCTION READY,test-evidence/rows/J-06.log,none,"Verified by executed test that re-derives every green row against the strict bar rather than trusting its label: implementation paths resolve, acceptance is an executable pytest command, and evidence records a real passing run. A fabricated green row is proved to be rejected on all three counts. Every not-green row is required to state its reason."
K-01,Supply chain,mission.K.1,Reproducible local development setup,"pyproject.toml, scripts/*",manual review,pytest tests/supply/test_dev_environment.py -q,PRODUCTION READY,test-evidence/rows/K-01.log,none,"Verified by executed test: the interpreter floor is declared, one installer exists and is the one the quick start and developer documentation describe, the documented commands match it, the dev extra supplies the gate tools, and every script the developer guide names exists."
K-02,Supply chain,mission.K.2,Locked or constrained dependency strategy,"pyproject.toml, requirements-dev.txt",manual review,pytest tests/supply/test_dev_environment.py -q,PRODUCTION READY,test-evidence/rows/K-02.log,none,"Verified by executed test across both tiers: every optional extra constrains every dependency, and requirements-lock.txt pins exact versions, records the resolving interpreter, is sorted, and matches the distributions installed in this environment in both directions. The earlier note that no lockfile was committed is superseded."
K-03,Supply chain,mission.K.3,SBOM generation,scripts/sbom.py,manual run,pytest tests/supply/test_sbom.py -q,PRODUCTION READY,test-evidence/rows/K-03.log,none,"Verified by executed test: the generator runs, emits CycloneDX, and its component set and versions are compared against the distributions actually installed in this interpreter, so an SBOM of a foreign environment cannot pass. Enumeration failure is proved to raise rather than emit an empty component list. CycloneDX subset remains minimal."
K-04,Supply chain,mission.K.4,Secret scanning,scripts/secret_scan.py,manual run,pytest tests/security/test_secret_scanner.py -q,PRODUCTION READY,test-evidence/rows/K-04.log,none,"Verified by executed test: planted credential-shaped secrets are detected including inside tests/, the allowlist is proved to honour only exact (path, kind, value) triples, and the real repository scan returns no hits. Detection remains regex-based, so a secret in a shape the patterns do not cover would not be found."
K-05,Supply chain,mission.K.5,SAST,scripts/sast.py,manual run,pytest tests/security/test_sast.py -q,PRODUCTION READY,test-evidence/rows/K-05.log,none,"Verified by executed test: the scanner is shown to flag exec, shell=True and SQL built by f-string on planted inputs, and the real tree has no high findings. It wraps ruff and mypy plus these checks; there is no dedicated taint analysis in this scanner (the code plane's advisory taint pass is a separate capability)."
K-06,Supply chain,mission.K.6,Dependency vulnerability audit,scripts/run_pip_audit.sh,scripts/run_pip_audit.sh,pytest tests/supply/test_dependency_audit.py -q,PRODUCTION READY,test-evidence/rows/K-06.log,none,"Verified by executed test that pins the recorded audit to this environment: every installed distribution and version must appear in the audited list in both directions, the report must name its advisory source and tool version, and any finding fails the test. The script is proved to exit non-zero with pip-audit absent and with no project virtualenv. Scope of that pin, stated precisely: it rejects a report about a DIFFERENT environment, not an OLD one. If no dependency changes version the same report keeps matching, and the advisory-database snapshot behind it is not pinned or dated, so recency comes from re-running the audit in CI rather than from this artifact. The live network run is opt-in (DKG_LIVE_AUDIT=1) so the suite keeps the air-gap default; it was executed in this session and test-evidence/pip_audit.txt records the result."
K-07,Supply chain,mission.K.7,Licence inventory and policy,"docs/DEPENDENCY_AND_LICENCE_POLICY.md, scripts/license_inventory.py",manual run,pytest tests/supply/test_licence_inventory.py -q,PRODUCTION READY,test-evidence/rows/K-07.log,none,"Verified by executed test: the classifier is proved to catch all three copyleft families and not to over-flag permissive ones, and every installed third-party distribution is re-classified independently through importlib.metadata rather than through the script's own artifact. Classification reads declared licences (SPDX expression, trove classifiers, short licence field), not embedded licence bodies, which name other licences in passing."
K-08,Supply chain,mission.K.8,Checksums for generated artefacts,scripts/checksum.py,manual run,pytest tests/release/test_evidence_checksums.py -q,PRODUCTION READY,test-evidence/rows/K-08.log,none,"Verified by executed test: every recorded checksum is recomputed against the file on disk, the record is proved to cover every committed evidence file and nothing uncommitted, and the generation order is asserted so the bundle's own hash cannot be the previous bundle's. SHA-256 only."
K-09,Supply chain,mission.K.9,CI workflows with least privilege,.github/workflows/ci.yml,.github/workflows/ci.yml,pytest tests/supply/test_ci_least_privilege.py -q,PRODUCTION READY,test-evidence/rows/K-09.log,none,"Verified by executed test over every workflow: each declares a top-level permissions block granting no more than contents: read, elevation is per job and limited to a reviewed scope set, no workflow can write repository contents, pull_request_target is absent from the parsed triggers, and every third-party action is pinned to a 40-character commit SHA with its version recorded. A hosted run is a separate matter and is not what this row claims."
K-10,Supply chain,mission.K.10,Release checklist,docs/OPERATIONS_RUNBOOK.md,manual review,pytest tests/unit/test_docs_release_checklist.py -q,PRODUCTION READY,test-evidence/rows/K-10.log,none,"Verified by executed test: the checklist is numbered contiguously, every script and repository path it names exists, every dkg command is a registered subcommand, the suite is ordered before the build and the checksums after it, publication is last, and the signing step still refuses the signed-release label until a real signing step has run."
K-11,Supply chain,mission.K.11,"Upgrade, backup, health check, rollback tests",tests/integration/test_admin.py,tests/integration/test_admin.py,pytest tests/integration/test_admin.py -q,PRODUCTION READY,test-evidence/rows/K-11.log,none,
K-12,Supply chain,mission.K.12,No signed release claim until real signing runs,docs/OPERATIONS_RUNBOOK.md,manual review,pytest tests/unit/test_honest_claims.py -q,PRODUCTION READY,test-evidence/rows/K-12.log,none,"Verified by executed test: while S-04 is not production ready, no tracked document, badge or surface may state that a release was signed, and the runbook must keep the instruction forbidding the label. The test asserts S-04's status first, so if a real signed release ever runs this row is revisited rather than left enforcing a stale ban."
L-01,Cross platform,mission.L.1,macOS support,src/*,"tests/e2e/test_offline_mode.py, tests/e2e/test_cli.py",pytest tests/e2e -q,PRODUCTION READY,test-evidence/rows/L-01.log,none,Primary development platform is macOS in this session
L-02,Cross platform,mission.L.2,Linux support,src/*,scripts/run_container_validate.sh,bash scripts/run_container_validate.sh docker,IMPLEMENTED BUT NOT FULLY VERIFIED,test-evidence/rows/L-02.log,none,"EXTERNAL BLOCKER: a Linux host. This environment is macOS, and the container route that would exercise the Linux code path is barred by the project's Docker isolation rule. The code uses pathlib and the standard library only. CLOSED BY: a full suite run on native Linux, or scripts/run_container_validate.sh under a python:3.12-slim container on a host where driving containers is permitted."
L-03,Cross platform,mission.L.3,Windows support or documented limits,docs/DEVELOPER_GUIDE.md,manual review,manual review,IMPLEMENTED BUT NOT FULLY VERIFIED,test-evidence/rows/L-03.log,none,"EXTERNAL BLOCKER: a Windows machine. docs/DEVELOPER_GUIDE.md carries an explicit instruction not to promote this row until the full suite has been run on Windows, and no Windows machine was used here. The documented-limits branch of the requirement is written and docs/TROUBLESHOOTING.md labels every Windows entry as inferred from the code rather than observed. CLOSED BY: a full suite run on a Windows workstation, recorded as evidence."
L-04,Cross platform,mission.L.4,Local installation,scripts/install.sh,manual run,pytest tests/e2e/test_local_install.py -q,PRODUCTION READY,test-evidence/rows/L-04.log,none,"Verified by executed test: the wheel is built from this tree, installed into a virtualenv created from scratch with no index and no dependencies resolved, and the installed console scripts init a home, ingest and search end to end with PYTHONPATH removed so the source tree cannot satisfy the import. scripts/install.sh itself is checked as a contract rather than executed, because running it would mutate the environment the suite is measuring."
L-05,Cross platform,mission.L.5,Docker and Podman deployment,docker/*,scripts/run_container_validate.sh,bash scripts/run_container_validate.sh docker,IMPLEMENTED BUT NOT FULLY VERIFIED,test-evidence/rows/L-05.log,none,"EXTERNAL BLOCKER: a container runtime this environment may not drive, as for F-10. Docker is installed but the project's Docker isolation rule forbids using it, and podman is absent. CLOSED BY: scripts/run_container_validate.sh executed under both runtimes on a host where driving containers is permitted."
L-06,Cross platform,mission.L.6,Self hosted remote deployment,docs/DEPLOYMENT_GUIDE.md,manual review,pytest tests/unit/test_docs_deployment_guide.py -q,PRODUCTION READY,test-evidence/rows/L-06.log,none,"Verified by executed test: the guide states the self-hosted shape with no cloud requirement, gives a TLS-terminating reverse proxy forwarding to loopback, and states the credential requirement, which is cross-checked against the source that enforces it. No remote host was provisioned; the documented deployment path is what is verified."
L-07,Cross platform,mission.L.7,Offline mode test,tests/e2e/test_offline_mode.py,tests/e2e/test_offline_mode.py,pytest tests/e2e/test_offline_mode.py -q,PRODUCTION READY,test-evidence/rows/L-07.log,none,
L-08,Cross platform,mission.L.8,Clean machine install test,scripts/clean_install_check.py,manual run,pytest tests/e2e/test_clean_install.py -q,PRODUCTION READY,test-evidence/rows/L-08.log,none,"Verified by executed test: the checker runs now against a temporary home that did not exist beforehand, all eight steps are asserted individually, status reports a real schema with the network and telemetry off, and the step runner is proved to report failure on a command that does not exist. It simulates a clean home, not a clean machine: no package installation is performed, which is what tests/e2e/test_local_install.py covers."
L-09,Cross platform,mission.L.9,Upgrade test,tests/integration/test_admin.py,tests/integration/test_admin.py,pytest tests/integration/test_admin.py -q,PRODUCTION READY,test-evidence/rows/L-09.log,none,
L-10,Cross platform,mission.L.10,Rollback test,tests/integration/test_admin.py,tests/integration/test_admin.py,pytest tests/integration/test_admin.py -q,PRODUCTION READY,test-evidence/rows/L-10.log,none,
L-11,Cross platform,mission.L.11,"Production deployment guide (TLS, backups, monitoring, log retention, recovery)",docs/DEPLOYMENT_GUIDE.md,manual review,pytest tests/unit/test_docs_deployment_guide.py -q,PRODUCTION READY,test-evidence/rows/L-11.log,none,"Verified by executed test that each of the five named topics has a substantive section: TLS, backups, monitoring, log retention and recovery. The log-retention section's premise, that the application writes no log files, is verified against the source, and the section is required to stay honest that no automated time-based retention exists in this build."
M-01,Media plane,wave1.M.1,"Image ingestion: decode JPEG, PNG, GIF, WEBP, TIFF, BMP via Pillow",src/dkg/media/images.py,tests/media/test_images.py,pytest tests/media/test_images.py -q,PRODUCTION READY,test-evidence/rows/M-01.log,third-party only: pillow HPND permissive,Requires the media-image extra (Pillow)
M-02,Media plane,wave1.M.2,Image OCR text extraction via the external tesseract binary,"src/dkg/media/ocr.py, src/dkg/media/images.py","tests/media/test_images.py, tests/media/test_accuracy.py",pytest tests/media/test_accuracy.py -q,PRODUCTION READY,test-evidence/rows/M-02.log,third-party only: tesseract Apache-2.0,Measured OCR mean CER and WER are 0.0 on the retained corpus; requires the tesseract binary
M-03,Media plane,wave1.M.3,Image EXIF and embedded metadata extraction via Pillow,src/dkg/media/images.py,tests/media/test_images.py,pytest tests/media/test_images.py -q,PRODUCTION READY,test-evidence/rows/M-03.log,third-party only: pillow HPND permissive,EXIF is best-effort and JSON-serialised; requires the media-image extra
M-04,Media plane,wave1.M.4,SVG text extraction as XML with DOCTYPE and ENTITY rejection,src/dkg/media/svg.py,tests/media/test_svg.py,pytest tests/media/test_svg.py -q,PRODUCTION READY,test-evidence/rows/M-04.log,none,"Extracts text, title, and desc nodes; no rasterisation"
M-05,Media plane,wave1.M.5,HEIC and HEIF decode via an external tool under the copyleft carve-out,src/dkg/media/images.py,tests/media/test_images.py,pytest tests/media/test_images.py -q,IMPLEMENTED BUT NOT FULLY VERIFIED,test-evidence/rows/M-05.log,libheif LGPL external binary carve-out,"EXTERNAL BLOCKER: no HEIF decoder binary on this host. dkg.media.capability.heif_tool() returns None; heif-convert and libheif are not installed, and the carve-out permits only an external binary, never a Python-linked one. The absent-tool degrade path is tested and passes; a real HEIC decode was not exercised. CLOSED BY: installing heif-convert or libheif and running pytest tests/media/test_images.py with a real HEIC fixture decoded."
M-06,Media plane,wave1.M.6,Video container and stream metadata via external ffprobe,"src/dkg/media/ffprobe.py, src/dkg/media/video.py",tests/media/test_ffprobe.py,pytest tests/media/test_ffprobe.py -q,PRODUCTION READY,test-evidence/rows/M-06.log,ffprobe LGPL or GPL external binary carve-out,Requires the external ffprobe binary; skipped cleanly when absent
M-07,Media plane,wave1.M.7,Subtitle and caption extraction (sidecar SRT and WebVTT) with timecodes,"src/dkg/media/subtitles.py, src/dkg/media/video.py","tests/media/test_subtitles.py, tests/media/test_video.py",pytest tests/media/test_subtitles.py -q,PRODUCTION READY,test-evidence/rows/M-07.log,none,Sidecar SRT and VTT parsed with the stdlib; embedded stream extraction relies on ffprobe and ffmpeg
M-08,Media plane,wave1.M.8,"Video audio transcription (ASR) with per-segment timecodes, pre-staged model","src/dkg/media/asr.py, src/dkg/media/video.py",tests/media/test_video.py,pytest tests/media/test_video.py -q,IMPLEMENTED BUT NOT FULLY VERIFIED,test-evidence/rows/M-08.log,third-party only: whisper.cpp or faster-whisper MIT,"EXTERNAL BLOCKER: no pre-staged ASR model. The air-gap rule forbids a runtime download, the model must be referenced by DKG_ASR_MODEL, and scripts/prestage_models.py stages the embedding, reranker and detection models only. ASR is therefore NOT MEASURED here: test-evidence/media_accuracy.json records asr.measured false with the reason, and the capability-detected degrade path is what the acceptance exercises. CLOSED BY: pre-staging a whisper model, setting DKG_ASR_MODEL, and recording a measured word error rate."
M-09,Media plane,wave1.M.9,"Media wired into the shared source, document, chunk, entity, and provenance model","src/dkg/media/images.py, src/dkg/ingest/readers.py, src/dkg/ingest/base.py",tests/media/test_wire.py,pytest tests/media/test_wire.py -q,PRODUCTION READY,test-evidence/rows/M-09.log,third-party only: pillow HPND permissive,"End-to-end image ingest verified; video end-to-end depends on ffprobe and, for transcripts, an ASR engine"
M-10,Media plane,wave1.M.10,Graceful capability detection for every media tool and model,"src/dkg/media/capability.py, src/dkg/adapters/capability.py","tests/media/test_media_capability.py, tests/media/test_core_without_media.py",pytest tests/media/test_media_capability.py -q,PRODUCTION READY,test-evidence/rows/M-10.log,none,Core installs and passes with no media tool present; absent tools degrade with a clear message
N-01,Source-code plane,wave2.N.1,"Code parsing via Tree-sitter for a starter language set (Python, JavaScript, Go)","src/dkg/code/parser.py, src/dkg/code/capability.py","tests/code/test_parser.py, tests/code/test_accuracy.py",pytest tests/code/test_parser.py -q,PRODUCTION READY,test-evidence/rows/N-01.log,third-party only: tree-sitter and grammars MIT,"Requires the 'code' extra; pluggable parser, more languages can be added"
N-02,Source-code plane,wave2.N.2,Per-language parsing accuracy published (entity-extraction precision and recall),"src/dkg/code/parser.py, scripts/language_accuracy.py, scripts/code_accuracy.py","tests/code/test_accuracy.py, tests/code/test_language_breadth.py",pytest tests/code/test_accuracy.py tests/code/test_language_breadth.py -q,PRODUCTION READY,test-evidence/rows/N-02.log,none,"Measured symbol precision and recall 1.0 on the authored per-language corpus for all 41 claimed languages (82 files, 403 labelled symbols; test-evidence/language_accuracy.json). That corpus was written alongside the parser, so the stronger number is the held-out hard-construct corpus, labelled before it was ever parsed: micro precision 0.9901, recall 0.9804 over 102 symbols in 12 languages. Two known misses remain there and are published: a method of a PHP anonymous class is reported as a function because the anonymous class is no naming context, and a Rust module is not emitted as a container symbol."
N-03,Source-code plane,wave2.N.3,Code graph over the shared substrate with a documented edge-confidence heuristic,"src/dkg/code/graph.py, src/dkg/code/model.py",tests/code/test_graph.py,pytest tests/code/test_graph.py -q,PRODUCTION READY,test-evidence/rows/N-03.log,none,"Reference resolution is name-based; confidence is deterministic (defines 1.0, resolved 0.9, name-match 0.6, unresolved 0.3)"
N-04,Source-code plane,wave2.N.4,Git-based incremental change detection: re-parse only changed files,"src/dkg/code/changes.py, src/dkg/code/ingest.py",tests/code/test_changes.py,pytest tests/code/test_changes.py -q,PRODUCTION READY,test-evidence/rows/N-04.log,none,Content-hash based; measured re-parse of only the changed file (test-evidence/code_accuracy.json)
N-05,Source-code plane,wave2.N.5,Structural blast-radius by bounded reverse traversal (over-approximate),src/dkg/code/impact.py,tests/code/test_impact.py,pytest tests/code/test_impact.py -q,PRODUCTION READY,test-evidence/rows/N-05.log,none,"Structural and over-approximate: measured recall 1.0, precision 0.6667 on the collision corpus. Evidence-graded, git co-change, and dataflow refinements deferred to Wave 4"
N-06,Source-code plane,wave2.N.6,Code search over code entities and code chunks,src/dkg/code/search.py,tests/code/test_mcp_code.py,pytest tests/code/test_mcp_code.py -q,PRODUCTION READY,test-evidence/rows/N-06.log,none,Name and text scoped to code entities and code documents
N-07,Source-code plane,wave2.N.7,"Read-only MCP tools for code (symbols, search, impact), taking the read-only registry to 18 tools in total",src/dkg/mcp/tools.py,tests/code/test_mcp_code.py,pytest tests/code/test_mcp_code.py -q,PRODUCTION READY,test-evidence/rows/N-07.log,none,"Read-only; no write tools are registered. The registry holds 18 ToolSpec entries, 9 of them code-plane tools, which is what this row's acceptance test asserts by name. An earlier '7 -> 10' in this cell counted a registry that has since grown"
N-08,Source-code plane,wave2.N.8,Code capability detection; core installs and passes without the code extra,"src/dkg/code/capability.py, src/dkg/adapters/capability.py, src/dkg/ingest/readers.py","tests/code/test_code_capability.py, tests/code/test_core_without_code.py",pytest tests/code/test_code_capability.py -q,PRODUCTION READY,test-evidence/rows/N-08.log,none,Absent code extra degrades with a clear message; code tests skip honestly
O-01,Retrieval and graph enrichment,wave3a.O.1,"Real local embedding model (model2vec), pre-staged and air-gapped, with recorded provenance","src/dkg/adapters/embedding.py, src/dkg/search/vector_index.py, scripts/prestage_models.py",tests/retrieval/test_real_embedding.py,pytest tests/retrieval/test_real_embedding.py -q,PRODUCTION READY,test-evidence/rows/O-01.log,third-party only: model2vec MIT; potion-base-8M MIT weights (optional),"Verified with the model pre-staged: the acceptance ran the real model2vec path with no test skipped, covering semantic similarity, persisted vector search, model-keyed storage so backends cannot mix, and idempotent re-index. Runtime never downloads a model; it loads local-files-only from a pre-staged path and the hashing adapter is the fallback. An environment without the staged model skips those tests honestly rather than failing. Measured MRR 0.9375 keyword baseline vs 1.0 new system on the Wave 5 corpus (30 documents, 40 queries) in test-evidence/retrieval_quality.json; provenance and checksums in docs/model_provenance.json. Backend change requires 'dkg reindex'."
O-02,Retrieval and graph enrichment,wave3a.O.2,Local cross-encoder reranker over the keyword-plus-vector candidate set,"src/dkg/adapters/reranker.py, src/dkg/search/hybrid.py",tests/retrieval/test_reranker.py,pytest tests/retrieval/test_reranker.py -q,PRODUCTION READY,test-evidence/rows/O-02.log,third-party only: fastembed Apache-2.0; ms-marco-MiniLM-L-6-v2 Apache-2.0 weights (optional),"Verified with the model pre-staged: the acceptance ran the real cross-encoder path with no test skipped, covering relevance ordering and the reranked hybrid's provenance marking, alongside the pure-RRF fallback shape. Pre-staged and local-files-only; degrades to reciprocal-rank fusion when absent, and an environment without the model skips those tests honestly. Measured nDCG@10 0.9473 keyword baseline to 1.0 with embeddings plus rerank, MRR 0.9375 to 1.0 (test-evidence/retrieval_quality.json)."
O-03,Retrieval and graph enrichment,wave3a.O.3,"Published retrieval quality (MRR, nDCG, recall) on a retained corpus","src/dkg/search/metrics.py, scripts/retrieval_quality.py, tests/retrieval/corpus/corpus.json",tests/retrieval/test_metrics.py,pytest tests/retrieval/test_metrics.py -q,PRODUCTION READY,test-evidence/rows/O-03.log,none,"Metrics verified by unit tests; measured before and after on the retained corpus in test-evidence/retrieval_quality.json (keyword MRR 0.9375, previous stub hybrid 0.7448, new system 1.0 on the Wave 5 expanded corpus, docs/BENCHMARKS.md). Rerank adds latency; the per-query overhead is hardware-dependent, so it is not restated here and is read from latency_overhead_ms in that artifact. An earlier 'about 216 ms' in this cell had drifted from the measurement"
O-04,Retrieval and graph enrichment,wave3a.O.4,Graceful fallback to keyword-plus-FTS when the embedding and reranker models are absent,"src/dkg/search/hybrid.py, src/dkg/adapters/embedding.py",tests/retrieval/test_reranker.py,pytest tests/retrieval/test_reranker.py::test_hybrid_without_optional_arms_is_pure_rrf -q,PRODUCTION READY,test-evidence/rows/O-04.log,none,Core installs and searches with no embedding or reranker model present; hybrid degrades to keyword-plus-FTS reciprocal-rank fusion with the reason recorded by the capability registry
O-05,Retrieval and graph enrichment,wave3a.O.5,"Community detection (Mnemosyne, modularity optimization)",src/dkg/graph/community.py,tests/graph/test_community.py,pytest tests/graph/test_community.py -q,PRODUCTION READY,test-evidence/rows/O-05.log,"covered by the repository licence (source-available, non-commercial)","Original pure-Python modularity-optimization detector, deterministic; recovers planted partitions and reports modularity and coverage. Communities are advisory and structural, not an authoritative account of meaning"
O-06,Retrieval and graph enrichment,wave3a.O.6,"Ariadne community detector (refinement, semantic edge weighting, auto-tuned resolution)",src/dkg/ariadne/detector.py,tests/graph/test_ariadne.py,pytest tests/graph/test_ariadne.py -q,PRODUCTION READY,test-evidence/rows/O-06.log,covered by the repository licence; not a third-party dependency,"Original refinement-based detector in src/dkg/ariadne, shipped in the wheel and run by default as the refinement pass alongside the Mnemosyne base pass. See O-07."
P-01,Perception and flow enrichment,wave3b.P.1,Video keyframe and scene detection with timecodes,src/dkg/media/keyframes.py,tests/media/test_keyframes.py,pytest tests/media/test_keyframes.py::test_scene_detection_finds_multiple_keyframes -q,PRODUCTION READY,test-evidence/rows/P-01.log,ffmpeg external binary (copyleft carve-out; never Python-linked),Scene and keyframe detection via the external ffmpeg binary with a configurable threshold; no Python dependency. Measured scene recall 0.875 and precision 1.0 on an 8-scene retained synthetic corpus (test-evidence/media_enrichment_accuracy.json). Bare runners without ffmpeg skip and preserve the executed evidence
P-02,Perception and flow enrichment,wave3b.P.2,On-screen text OCR on keyframes with timecodes,"src/dkg/media/keyframes.py, src/dkg/media/ocr.py, src/dkg/media/video.py",tests/media/test_keyframes.py,pytest tests/media/test_keyframes.py::test_keyframe_ocr_recovers_on_screen_text -q,PRODUCTION READY,test-evidence/rows/P-02.log,third-party only: ffmpeg and tesseract (Apache-2.0) external binaries,"On-screen OCR via tesseract on ffmpeg-extracted keyframes; text attaches to the video with timecodes. Measured OCR word recall 1.0 on the retained corpus. OCR is font- and binary-fragile, so executed evidence is preserved in bare runners"
P-03,Perception and flow enrichment,wave3b.P.3,Image object and content detection (local model),src/dkg/media/detect.py,tests/media/test_detect.py,pytest tests/media/test_detect.py -q,PRODUCTION READY,test-evidence/rows/P-03.log,third-party only: fastembed Apache-2.0; Qdrant/clip-ViT-B-32 MIT weights (optional 'media-detect' extra),"Verified with the model pre-staged: the acceptance ran the real zero-shot CLIP path with no test skipped. Torch-free ONNX via the optional 'media-detect' extra, pre-staged and local-files-only, not AGPL. Measured top-1 accuracy 0.9375 on a 32-way synthetic colours-and-shapes corpus (test-evidence/media_enrichment_accuracy.json). Natural-photo accuracy is NOT MEASURED: no permissive, reproducible natural-image corpus is bundled, so the figure above must not be read as photographic accuracy."
P-04,Perception and flow enrichment,wave3b.P.4,"Code execution-flow tracing (structural, per-language accuracy)",src/dkg/code/flow.py,tests/code/test_flow.py,pytest tests/code/test_flow.py -q,PRODUCTION READY,test-evidence/rows/P-04.log,none,"Structural forward call-flow traversal over the code graph with cycle handling. Measured per-language edge precision and recall 1.0 on a small deliberately-unambiguous retained corpus (Python, JavaScript, Go; test-evidence/flow_accuracy.json). Over-approximate (name-based resolution); type-aware, dataflow, and taint refinements deferred to Wave 4. Requires the 'code' extra to ingest"
Q-01,Advanced code analysis,wave4a.Q.1,"Type-aware reference resolution via external language servers (Python, JavaScript)","src/dkg/code/lsp.py, src/dkg/code/resolve.py, src/dkg/code/graph.py",tests/code/test_resolve.py,pytest tests/code/test_resolve.py -q,PRODUCTION READY,test-evidence/rows/Q-01.log,"third-party only: pyright MIT, typescript-language-server and typescript Apache-2.0 (external Node processes over stdio; not Python-linked)","Verified with the servers staged: the acceptance ran with no test skipped, including the language-server resolution test and the corpus precision test that needs both the Python and JavaScript servers. Servers run as external processes over stdio with list args, no shell, a bounded timeout, no network and a clean shutdown. Resolved edges get confidence 0.95, replacing the ambiguous name-match fan-out. Measured blast-radius and execution-flow precision 0.108 structural to 1.0 resolved, recall 1.0, for Python and JavaScript on the Wave 5 ambiguity corpus (test-evidence/resolution_accuracy.json, docs/BENCHMARKS.md). Go remains structural: no Go toolchain or server. An environment without Node or the staged servers skips those tests and the analysis stays structural."
Q-02,Advanced code analysis,wave4a.Q.2,Intra-procedural dataflow (def-use type inference) and optional source-to-sink taint,src/dkg/code/dataflow.py,tests/code/test_resolve.py,pytest tests/code/test_resolve.py::test_dataflow_resolves_polymorphism_without_a_server -q,PRODUCTION READY,test-evidence/rows/Q-02.log,none (original code),"Original intra-procedural def-use over the Tree-sitter AST resolves local-variable method calls with no server (Python, JavaScript), and an advisory over-approximate source-to-sink taint pass emits a security signal. Flow-sensitive on straight-line code, approximate across branches; inter-procedural dataflow is future work. Requires the 'code' extra"
Q-03,Advanced code analysis,wave4a.Q.3,Resolved-versus-structural precision published on a retained ambiguity corpus,"scripts/resolution_accuracy.py, tests/code/corpus/ambiguity/ground_truth.json",tests/code/test_resolve.py,pytest tests/code/test_resolve.py::test_structural_over_links_ambiguous_method -q,PRODUCTION READY,test-evidence/rows/Q-03.log,none,"Retained corpus with realistic ambiguity (same-named methods, cross-file imports, polymorphism, and a non-helping unique-name case). Measured blast-radius precision 0.1081 structural to 1.0 resolved for Python and 0.1081 to 1.0 for JavaScript, recall 1.0 both ways (test-evidence/resolution_accuracy.json). An earlier 0.6 in this cell matched no artifact and contradicted Q-01. Go stays structural: no toolchain or language server staged"
R-01,Delivery and distribution,wave4b.R.1,Consumer GitHub Action (composite) that installs the tool at a pinned version and reports code analysis,"action.yml, src/dkg/code/report.py, src/dkg/cli/entry.py, docs/CONSUMER_ACTION.md",tests/delivery/test_action.py,pytest tests/delivery/test_action.py -q,PRODUCTION READY,test-evidence/rows/R-01.log,none,"Composite action installs the tool from the repository at an explicitly pinned ref (dkg-ref; no floating default) and SHA-pins its sub-action. Validated locally: composite, pinned tool install, SHA-pinned uses, documented inputs and outputs, and the underlying dkg code-report command runs. A live GitHub Actions run on push has not been performed from this environment."
R-02,Delivery and distribution,wave4b.R.2,Multi-repo registry and bounded local watch daemon with incremental re-ingest and health checks,"src/dkg/watch/registry.py, src/dkg/watch/daemon.py, src/dkg/cli/entry.py",tests/delivery/test_daemon.py,pytest tests/delivery/test_daemon.py -q,PRODUCTION READY,test-evidence/rows/R-02.log,third-party only: watchfiles MIT (optional 'watch' extra); standard-library polling fallback,"Registry of repos plus a bounded local daemon that re-ingests incrementally via the git-incremental code path, tracks per-repo health, and stops cleanly with no orphaned thread (deterministic poll-with-timeout test). watchfiles event-driven backend when the 'watch' extra is present, else standard-library polling. The re-ingest tests require the 'code' extra; the base environment skips those and preserves the executed evidence."
R-03,Delivery and distribution,wave4b.R.3,Bundled offline graph visualization with no CDN and no network call,"src/dkg/export/viz.py, src/dkg/export/graphdata.py, src/dkg/cli/entry.py",tests/delivery/test_viz.py,pytest tests/delivery/test_viz.py -q,PRODUCTION READY,test-evidence/rows/R-03.log,none (original vanilla SVG; no third-party viewer vendored),"Original self-contained HTML visualization (vanilla SVG plus a small inline script). The rendered page has no CDN and no external script, style, font, or image, verified by asserting zero external references, and node labels are escaped (XSS-safe, no script breakout). Layout is bounded and truncates large graphs with an honest note."
R-04,Delivery and distribution,wave4b.R.4,"Interoperability graph exports (Graphviz DOT, Neo4j Cypher, standalone SVG, Obsidian vault)","src/dkg/export/dot.py, src/dkg/export/cypher.py, src/dkg/export/svg.py, src/dkg/export/obsidian.py, src/dkg/export/graphdata.py",tests/delivery/test_exports.py,pytest tests/delivery/test_exports.py -q,PRODUCTION READY,test-evidence/rows/R-04.log,none,"DOT, Cypher, standalone SVG, and Obsidian-vault exports over the shared graph, complementing the existing json, markdown, csv, and graphml exports. Identifiers and labels are quoted and escaped so no value can break the output syntax."
